place_id,name,lat,lon,rating,user_ratings_total,address,types
ChIJ82eeDw1yVo8RzxeXQC66A8M,"Parque Emiliano Zapata Sur III. ""K'íiwik Emiliano Zapata 3""",20.912522600000003,-89.6419214,4.1,48,"C. 163ᴬ 264, Emiliano Zapata Sur III, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ8SfAs21tVo8RAAh2lXajy7o,Centro Ciudadano para la Sustentabilidad Yucatán,20.896708699999998,-89.65068269999999,5.0,1,"C. 185 92, San Antonio Xluch III, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJizK5aABtVo8R4BtF0UTNqA8,fraccionamiento La Guadalupana Park,20.896838700000004,-89.6377394,,0,"Calle 187c-x 60 y 60a, Guadalupana, 97315 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ98KVaVBzVo8RZ5E2YLdLW6U,La Canchita,20.9088946,-89.6535657,5.0,2,"C. 171-A, Emiliano Zapata Sur III, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJnZ-4_gxzVo8Rerv7Aay1NuU,Colonia Melithon Zalasar,20.9115514,-89.65336,4.3,3,"parqiue, Melitón Salazar, 97297 Mérida, Yuc., Mexico","state_park,park,point_of_interest,establishment"
ChIJWW29JQBzVo8RjLmAP4mp98M,Areas donadas a parque o recreacion,20.9089246,-89.6426714,,0,"C. 171A 365a, San José Tecoh II, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJVxgZOQBzVo8RV9XfYLYmavU,Nueva san jose tecoh 3,20.904112599999998,-89.62729569999999,4.0,2,"C. 66-A 385-405, Plan de Ayala Sur, 97315 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJCbkrFwByVo8RWvxC1nq88zo,Nva. San Jose Tecoh Park,20.9038357,-89.62631600000002,4.3,562,"C. 64, Plan de Ayala Sur, 97315 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJmzUU-wFuVo8RcX4xrfHYqY4,Plan De Ayala Sur II Park,20.9020758,-89.62096129999999,4.0,123,"C. 177 446, Plan de Ayala II, 97285 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJcVx6tApxVo8RTown_xtyNBs,fracc San José tzal Park,20.909338700000003,-89.6161903,4.3,24,"C. 161ᶜ 241, Plan de Ayala ÌII, 97285 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
